,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
559,9981,0.0,-4,10,22,13,1.0,0.0
560,9981,0.0,-4,10,22,12,1.0,0.0
561,9981,0.0,-4,10,22,12,1.0,0.0
562,9981,0.0,-4,10,22,13,1.0,0.0
563,9981,0.0,-4,10,22,13,1.0,0.0
564,9981,0.0,-4,10,22,13,1.0,0.0
565,9981,0.0,-4,10,22,13,1.0,0.0
566,9981,0.0,-4,10,22,13,1.0,0.0
567,9981,0.0,-4,10,22,13,1.0,0.0
568,9981,0.0,-4,10,22,13,1.0,0.0
569,9981,0.0,-4,10,22,14,1.0,0.0
570,9981,0.0,-4,10,22,14,1.0,0.0
571,9981,0.0,-4,10,22,14,1.0,0.0
572,9981,0.0,-4,10,22,14,1.0,0.0
573,9981,0.0,-4,10,22,14,1.0,0.0
574,9981,0.0,-4,10,22,14,1.0,0.0
575,9981,0.0,-4,10,22,14,1.0,0.0
576,9981,0.0,-4,10,22,14,1.0,0.0
577,9981,0.0,-4,10,22,14,1.0,0.0
578,9981,0.0,-4,10,22,14,1.0,0.0
579,9981,0.0,-4,10,22,14,1.0,0.0
580,9981,0.0,-4,10,22,14,1.0,0.0
581,9981,0.0,-4,10,22,14,1.0,0.0
582,9981,0.0,-4,10,22,14,1.0,0.0
583,9981,0.0,-4,10,22,15,1.0,0.0
584,9981,0.0,-4,10,22,15,1.0,0.0
585,9981,0.0,-4,10,22,15,1.0,0.0
586,9981,0.0,-4,10,22,14,1.0,0.0
587,9981,0.0,-4,10,22,14,1.0,0.0
588,9981,0.0,-4,10,22,14,1.0,0.0
589,9981,0.0,-4,10,22,15,1.0,0.0
590,9981,0.0,-4,10,22,15,1.0,0.0
591,9981,0.0,-4,10,22,15,1.0,0.0
592,9981,0.0,-4,10,22,15,1.0,0.0
593,9981,0.0,-4,10,22,15,1.0,0.0
594,9981,0.0,-4,10,22,15,1.0,0.0
595,9981,0.0,-4,10,22,15,1.0,0.0
596,9981,0.0,-4,10,22,15,1.0,0.0
597,9981,0.0,-4,10,22,15,1.0,0.0
598,9981,0.0,-4,10,22,15,1.0,0.0
599,9981,0.0,-4,10,22,15,1.0,0.0
600,9981,0.0,-4,10,22,16,1.0,0.0
601,9981,0.0,-4,10,22,16,1.0,0.0
602,9981,0.0,-4,10,22,15,1.0,0.0
603,9981,0.0,-4,10,22,16,1.0,0.0
604,9981,0.0,-4,10,22,15,1.0,0.0
605,9981,0.0,-4,10,22,15,1.0,0.0
606,9981,0.0,-4,10,22,15,1.0,0.0
607,9981,0.0,-4,10,22,15,1.0,0.0
608,9981,0.0,-4,10,22,15,1.0,0.0
609,9981,0.0,-4,10,22,15,1.0,0.0
610,9981,0.0,-4,10,22,15,1.0,0.0
611,9981,0.0,-4,10,22,15,1.0,0.0
612,9981,0.0,-4,10,22,15,1.0,0.0
613,9981,0.0,-4,10,22,15,1.0,0.0
614,9981,0.0,-4,10,22,15,1.0,0.0
615,9981,0.0,-4,10,22,15,1.0,0.0
616,9981,0.0,-4,10,22,15,1.0,0.0
617,9981,0.0,-4,10,22,15,1.0,0.0
618,9981,0.0,-4,10,22,15,1.0,0.0
619,9981,0.0,-4,10,22,15,1.0,0.0
620,9981,0.0,-4,10,22,15,1.0,0.0
621,9981,0.0,-4,10,22,15,1.0,0.0
622,9981,0.0,-4,10,22,15,1.0,0.0
623,9981,0.0,-4,10,22,15,1.0,0.0
624,9981,0.0,-4,10,22,15,1.0,0.0
625,9981,0.0,-4,10,22,16,1.0,0.0
626,9981,0.0,-4,10,22,16,1.0,0.0
627,9981,0.0,-4,10,22,16,1.0,0.0
628,9981,0.0,-4,10,22,16,1.0,0.0
629,9981,0.0,-4,10,22,16,1.0,0.0
630,9981,0.0,-4,10,22,16,1.0,0.0
631,9981,0.0,-4,10,22,15,1.0,0.0
632,9981,0.0,-4,10,22,16,1.0,0.0
633,9981,0.0,-4,10,22,16,1.0,0.0
634,9981,0.0,-4,10,22,16,1.0,0.0
635,9981,0.0,-4,10,22,16,1.0,0.0
636,9981,0.0,-4,10,22,16,1.0,0.0
637,9981,0.0,-4,10,22,16,1.0,0.0
638,9981,0.0,-4,10,22,16,1.0,0.0
